                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.76138,                0.42613,                0.82128,                0.52839,                0.35185,                0.40617,                0.17593,                 2.0958,                 1.8535,                0.95852,             0.00041919,             0.00041919,             0.00041919
                     90,                0.74834,                0.41484,                0.81066,                0.80816,                0.35185,                0.40919,                0.18518,                 2.1063,                  1.924,                0.96178,             0.00041724,             0.00041724,             0.00041724
                     91,                0.74581,                0.42148,                0.83096,                0.83292,                0.35185,                0.39447,                0.18519,                 2.0632,                 1.8777,                0.97015,              0.0004153,              0.0004153,              0.0004153
                     92,                0.79246,                0.43304,                0.81599,                0.80459,                0.33333,                0.38554,                0.20028,                 2.0327,                 1.9965,                0.97179,             0.00041336,             0.00041336,             0.00041336
                     93,                 0.7656,                0.43424,                0.81299,                0.67826,                0.33333,                0.39334,                0.18583,                 2.0596,                 2.0469,                0.96393,             0.00041142,             0.00041142,             0.00041142
                     94,                0.75086,                0.41626,                0.80482,                0.81483,                0.33333,                0.37759,                0.19249,                 1.9919,                 1.9788,                0.94726,             0.00040948,             0.00040948,             0.00040948
                     95,                0.75851,                0.42154,                0.80977,                0.82885,                0.33333,                0.38266,                0.19302,                 2.0015,                 1.9145,                0.94346,             0.00040754,             0.00040754,             0.00040754
                     96,                0.70159,                0.39546,                0.81064,                0.73946,                0.35185,                0.38844,                0.19816,                 2.0307,                 1.8252,                0.94205,              0.0004056,              0.0004056,              0.0004056
                     97,                0.74551,                0.42945,                0.81332,                0.84777,                0.35185,                 0.3862,                0.19348,                 1.9767,                 1.7714,                0.93719,             0.00040366,             0.00040366,             0.00040366
                     98,                0.75927,                0.41506,                0.82662,                0.74207,                 0.3513,                0.40975,                0.20932,                 1.8371,                 1.7715,                0.92146,             0.00040172,             0.00040172,             0.00040172
                     99,                0.73052,                0.41745,                0.79132,                0.85467,                0.35916,                0.41679,                  0.206,                  1.814,                 1.9694,                0.92222,             0.00039978,             0.00039978,             0.00039978
                    100,                0.82073,                0.44386,                0.82667,                0.70391,                0.35185,                 0.4019,                 0.1983,                 1.8652,                 1.9795,                 0.9297,             0.00039784,             0.00039784,             0.00039784
                    101,                0.75795,                0.42928,                0.80921,                0.69166,                0.35185,                0.40089,                 0.2137,                 1.9537,                  2.025,                0.93987,              0.0003959,              0.0003959,              0.0003959
                    102,                0.72433,                0.39537,                0.79807,                0.69861,                0.35185,                0.39102,                0.19248,                 1.9927,                   1.94,                0.94751,             0.00039396,             0.00039396,             0.00039396
                    103,                0.73951,                0.41292,                0.79086,                0.70859,                0.35185,                0.39194,                0.18744,                 2.0482,                 1.9255,                0.95522,             0.00039202,             0.00039202,             0.00039202
                    104,                0.76342,                0.42739,                0.81378,                0.71303,                0.35185,                0.40995,                0.18981,                 2.0629,                 2.1484,                0.97349,             0.00039008,             0.00039008,             0.00039008
                    105,                0.83627,                0.45628,                0.81036,                0.69101,                0.35185,                0.41428,                0.20234,                 2.0413,                 2.0884,                0.96787,             0.00038814,             0.00038814,             0.00038814
                    106,                0.74229,                 0.4048,                0.80026,                 0.7021,                0.35185,                0.41327,                0.18672,                 2.0292,                  1.934,                0.96234,              0.0003862,              0.0003862,              0.0003862
                    107,                0.72547,                0.40528,                0.78515,                0.71475,                0.37037,                0.40697,                0.20083,                 1.9955,                 1.7579,                0.96576,             0.00038426,             0.00038426,             0.00038426
                    108,                0.77013,                0.41182,                0.82151,                0.86693,                0.36253,                0.40583,                0.20318,                 1.9688,                 1.6787,                0.95349,             0.00038232,             0.00038232,             0.00038232
                    109,                0.78912,                0.42741,                0.79069,                0.86249,                0.36396,                0.40307,                0.19798,                 2.0063,                 1.6259,                0.95152,             0.00038038,             0.00038038,             0.00038038
                    110,                0.74227,                0.41428,                0.80906,                0.86394,                0.36112,                0.40505,                0.18783,                 2.0204,                 1.6514,                 0.9627,             0.00037844,             0.00037844,             0.00037844
                    111,                0.72809,                0.41234,                0.79269,                0.83079,                0.35185,                  0.401,                0.19277,                 2.0389,                 1.7916,                0.96154,              0.0003765,              0.0003765,              0.0003765
                    112,                0.72834,                0.41478,                0.80149,                0.58153,                0.35185,                0.38424,                0.20354,                 2.0121,                 1.8227,                0.94413,             0.00037456,             0.00037456,             0.00037456
                    113,                0.76863,                0.40761,                0.79293,                0.50867,                0.35185,                 0.3834,                0.19898,                 1.9767,                 1.7359,                0.93478,             0.00037262,             0.00037262,             0.00037262
                    114,                0.73873,                0.39769,                0.81269,                0.47742,                0.35185,                0.36016,                0.18296,                 1.9622,                 1.6683,                0.93863,             0.00037068,             0.00037068,             0.00037068
